Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.724,0.714
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.687,--
"Core (Slow 1100mV 85C Model)",1.932,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.779,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.633,0.499
"Postamble (Slow 1100mV 85C Model)",0.596,0.596
"Read Capture (Slow 1100mV 85C Model)",0.284,0.236
"Write (Slow 1100mV 85C Model)",0.3,0.3
"Address Command (Slow 1100mV 0C Model)",0.711,0.713
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.714,--
"Core (Slow 1100mV 0C Model)",1.929,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.872,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.639,0.538
"Postamble (Slow 1100mV 0C Model)",0.583,0.583
"Read Capture (Slow 1100mV 0C Model)",0.3,0.253
"Write (Slow 1100mV 0C Model)",0.312,0.312
"Address Command (Fast 1100mV 85C Model)",0.753,0.764
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.823,--
"Core (Fast 1100mV 85C Model)",2.312,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",4.131,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.696,0.635
"Postamble (Fast 1100mV 85C Model)",0.698,0.698
"Read Capture (Fast 1100mV 85C Model)",0.421,0.374
"Write (Fast 1100mV 85C Model)",0.37,0.37
"Address Command (Fast 1100mV 0C Model)",0.718,0.792
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.836,--
"Core (Fast 1100mV 0C Model)",2.312,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",4.229,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.693,0.663
"Postamble (Fast 1100mV 0C Model)",0.704,0.704
"Read Capture (Fast 1100mV 0C Model)",0.421,0.374
"Write (Fast 1100mV 0C Model)",0.384,0.384
